NAME,CPU,RAM,GPU,SSD,SIZE,WEIGHT,COLOR,OS,PRICE,SALE_PRICE,URL,IMAGE,CPU_LV,GPU_LV,RAM_LV
2026년 LG그램 프로 16ZD95U-GX56K,AMD 라이젠 AI 5 435,16,AMD 라데온 840M 내장형,NVMe 256GB + 확장슬롯1,16인치형,1.19kg,에어로미늄 화이트,미설치,"2,088,000","1,880,000",https://smartstore.naver.com/notebookland21/products/12848925685,/image/16zd95u-gx56k.png,3,1,2
2026년 LG그램 프로 16ZD95U-GX5BK,AMD 라이젠 AI 5 435,16,AMD 라데온 840M 내장형,NVMe 256GB + 확장슬롯1,16인치형,1.19kg,에어로미늄 실버,미설치,"2,088,000","1,880,000",https://smartstore.naver.com/notebookland21/products/12848938554,/image/16zd95u-gx5bk.png,3,1,2
2026년 LG그램 프로 16ZD95U-GX59K,AMD 라이젠 AI 5 435,32,AMD 라데온 840M 내장형,NVMe 256GB + 확장슬롯1,16인치형,1.19kg,에어로미늄 화이트,미설치,"2,313,000","2,113,000",https://smartstore.naver.com/notebookland21/products/12848906491,/image/16zd95u-gx59k.png,3,1,3
2026년 LG그램 프로 16Z95U-GS59K,AMD 라이젠 AI 5 435,16,AMD 라데온 840M 내장형,NVMe 256GB + 확장슬롯1,16인치형,1.19kg,에어로미늄 화이트,윈도우11 홈 탑재,"2,550,000","2,350,000",https://smartstore.naver.com/notebookland21/products/12848883249,/image/16z95u-gs59k.png,3,1,2
2026년 LG그램 프로 16ZD90TR-EX7BK,인텔 코어 울트라7 255H,32,NVIDIA RTX 5050 Laptop GPU GDDR7 8GB,NVMe 512GB + 확장슬롯1,16인치형,1.35kg,옵시디안 블랙,미설치,"2,931,000","2,731,000",https://smartstore.naver.com/notebookland21/products/12848951391,/image/16zd90tr-ex7bk.png,4,2,3
2026년 LG그램 프로 16ZD90TR-EX79K,인텔 코어 울트라7 255H,32,NVIDIA RTX 5050 Laptop GPU GDDR7 8GB,NVMe 256GB + 확장슬롯1,16인치형,1.35kg,에센스 화이트,미설치,"2,931,000","2,731,000",https://smartstore.naver.com/notebookland21/products/12848947516,/image/16zd90tr-ex79k.png,4,2,3
2026년 LG그램 프로 16Z90TR-ED79K,인텔 코어 울트라7 255H,32,NVIDIA RTX 5050 Laptop GPU GDDR7 8GB,NVMe 256GB + 확장슬롯1,16인치형,1.35kg,에센스 화이트,윈도우11 홈 탑재,"3,150,000","2,950,000",https://smartstore.naver.com/notebookland21/products/12848943711,/image/16z90tr-ed79k.png,4,2,3
2026년 LG그램북 15UD50T-GX5JK,인텔 13세대 i5-1334U,8,인텔 UHD 그래픽스 내장형,NVMe 256GB + 확장슬롯1,15.6인치형,약 1.7kg,타이탄 실버,미설치,"749,000","674,100",https://smartstore.naver.com/notebookland21/products/11121942489,/image/15ud50t-gx5jk.png,2,0,1
